id,short,title,onlinefirst,n_studies,first_study,open_access,open_access_e,preregistration,preregistration_e,statement_of_availability,statement_of_availability_e,materials_availability,materials_availability_e,data_availability,data_availability_e,code_availability,code_availability_e,general_comment,transparency_comment,methods_comment,methodsq_comment,methodsnq_comment,results_comment,conclusions_comment,background1,background1_e,background2,background2_e,background3,background3_e,background4,background4_e,goals1,goals1_e,goals2,goals2_e,goals3,goals3_e,conceptual1,conceptual1_e,conceptual2,conceptual2_e,conceptual3,conceptual3_e,recruitment1,recruitment1_e,recruitment1a,recruitment1a_e,recruitment2,recruitment2_e,recruitment3,recruitment3_e,incentives,incentives_e,participants1,participants1_e,participants2,participants2_e,participants3,participants3_e,participants4,participants4_e,participants5,participants5_e,exclusion0,exclusion0_e,exclusion1,exclusion1_e,exclusion2,exclusion2_e,exclumeasure1,exclumeasure1_e,exclumeasure2,exclumeasure2_e,exclumeasure3,exclumeasure3_e,kindofstudy,statistical_analysis,statistical_analysis_e,nqmeasure1,nqmeasure1_e,nqmeasure2,nqmeasure2_e,nqmeasure3,nqmeasure3_e,nqmeasure4,nqmeasure4_e,nqmeasure5,nqmeasure5_e,nqmeasure6,nqmeasure6_e,nqmeasure7,nqmeasure7_e,nqmeasure8,nqmeasure8_e,nqmeasure9,nqmeasure9_e,nqmeasure10,nqmeasure10_e,nqmeasure11,nqmeasure11_e,nqmeasure11a,nqmeasure11a_e,nqmeasure11b,nqmeasure11b_e,nqmeasure11c,nqmeasure11c_e,nqmeasure11d,nqmeasure11d_e,nqmeasure11e,nqmeasure11e_e,nqmeasure12,nqmeasure12_e,nqmeasure13,nqmeasure13_e,nqmeasure14,nqmeasure14_e,nqmeasure15,nqmeasure15_e,nqmeasure16,nqmeasure16_e,nqmeasure17,nqmeasure17_e,nqmeasure18,nqmeasure18_e,qmeasure1,qmeasure1_e,qmeasure2,qmeasure2_e,qmeasure3,qmeasure3_e,qmeasure4,qmeasure4_e,qmeasure5,qmeasure5_e,qmeasure6,qmeasure6_e,qmeasure6a,qmeasure6a_e,qmeasure6b,qmeasure6b_e,qmeasure6c,qmeasure6c_e,qmeasure6d,qmeasure6d_e,qmeasure6e,qmeasure6e_e,qmeasure6f,qmeasure6f_e,qmeasure7a,qmeasure7a_e,qmeasure7b,qmeasure7b_e,qmeasure7c,qmeasure7c_e,qmeasure7d,qmeasure7d_e,qmeasure8,qmeasure8_e,qmeasure9,qmeasure9_e,qmeasure10,qmeasure10_e,flow1,flow1_e,flow2,flow2_e,flow3,flow3_e,descriptive1,descriptive1_e,descriptive2,descriptive2_e,inferential1,inferential1_e,inferential2,inferential2_e,inferential3,inferential3_e,interpretation,interpretation_e,validity,validity_e,author_id,created_date,modified_date
13,Knobe2008-KNOIAC-BM,,,5,,N,"<p>It is not an open access paper.&nbsp;</p>
",N,"<p>No mention of preregistration on the website or in the paper</p>
",P,"<p>No statement</p>
",Y,,N,,NA,"<p>To be frank no statistical analyses were done.</p>
","<p>One study (Study 1) was reported previously in the published paper.&nbsp;</p>
","<p>This is barely an experimental paper.</p>
",,,,,,Y,"<p>When people are trying to determine whether an entity is capable of having certain kinds of mental states, they can think of it either from a functional<br />
standpoint or from a physical standpoint. We conducted a series of studies to determine how each of these standpoints impact people&rsquo;s mental state ascriptions.</p>
",Y,,Y,,Y,,Y,"<p>We know that people use certain English expressions more frequently than others, but we do not know precisely why they do this. It could be<br />
that the whole effect is due to some trivial difference like the number of words contained in each expression or the frequency with which people generally ascribe different types of states. What we want to know now is whether people are refraining from ascribing certain states to group agents because they actually regard those ascriptions as unacceptable. To address this question, we ran a series of studies on human subjects.</p>
",Y,"<p>Yes</p>
",Y,,Y,"<p>People tacitly classify feeling depressed as a state requiring phenomenal consciousness<br />
Ascriptions of states requiring phenomenal consciousness are sensitive in a special way to information about physical constitution.</p>
",Y,,Y,,P,"<p>Subjects were 34 students in philosophy classes at University of North Carolina ─ Chapel Hill.&nbsp;</p>
",N,"<p>Everything is missing</p>
",N,,N,,N,,N,,N,,N,,P,"<p>University and Philosophy classes tells you something</p>
",NA,,N,,NA,,NA,,NA,,NA,,NA,,Q,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,N,,Y,,Y,,Y,,N,,N,,Y,,N,,N,,N,,NA,,NA,,Y,,Y,,N,,N,,N,,NA,,N,,N,,N,,O,,N,,P,,P,,N,,P,,0.0,"<p>zupełnie bezrefleksyjni</p>
",3,2024-10-10 11:52:52.903051,2024-10-21 22:30:45.486849
14,Knobe2008-KNOIAC-JG,,,5,,P,"<p>Research Gate</p>
",N,,Y,,P,,Y,,NA,,,,,,,,,Y,"<p>We conducted a series of studies to determine how each of these standpoints [nam. functional and physical] impact people&rsquo;s mental state ascriptions. [abstr.]</p>

<p>We are genuinely intrigued by the intuitions themselves, and we want to get a better understanding of the psychological mechanisms that generate them. [p. 68]</p>

<p>The results reported thus far seem to indicate that people are unwilling to ascribe to group agents states that require phenomenal consciousness. We now turn to questions about precisely what sort of criteria people are applying here. [p. 75]</p>
",Y,"<p>It is not as though we are trying to present a theory about the true nature of consciousness and have simply chosen to argue for it in a roundabout way. Rather, we are genuinely intrigued by the intuitions themselves, and we want to get a better understanding of the psychological mechanisms that generate them. [p. 67-68]</p>

<p>But:</p>

<p>&nbsp;it seems that the idea that folk psychology is fundamentally functionalist was derived from a far broader view&mdash;a kind of grand vision of the nature of folk psychology. [p. 79]</p>
",Y,"<p>Before we go on to describe our own experiments, it might be helpful to review some of the arguments that have convinced researchers of this view. [p. 72]</p>
",N,,Y,"<p>Our aim here, then, is to conduct a straightforward investigation into people&rsquo;s intuitions about consciousness. [p. 67]</p>

<p>To address this issue, we ran one final experiment&mdash;this time, with the aim of getting a handle on ordinary people&rsquo;s views about the functions served by ascriptions of consciousness. [p. 81]</p>
",Y,"<p>We begin by setting out two initial hypotheses. (...) Our first hypothesis is that ordinary people&mdash;people who have never studied philosophy or cognitive science&mdash;actually have a concept of phenomenal consciousness. In particular, we hypothesize that people often make use of the concept of phenomenal consciousness when they are ascribing mental states. [p. 68]</p>

<p>Our hypothesis is that people have a concept of phenomenal consciousness and that they use this concept to distinguish between different types of mental state ascriptions. [p. 69]</p>

<p>We come then to our second hypothesis. This hypothesis is that information about physical constitution plays different roles in different kinds of mental state ascriptions. [p. 70]</p>
",Y,"<p>Philosophers have long been concerned with intuitions about consciousness, but this interest usually takes a peculiar form. The fundamental goal is typically not to understand the intuitions themselves, with all the psychological intricacies. Instead, what philosophers really want to understand is the true nature of consciousness, and they turn to intuitions as a way of getting indirect evidence about this other topic. This emphasis strikes us as unfortunate. Intuitions about consciousness are fascinating phenomena, amply worthy of study in their own right. [p. 67]</p>

<p>Because our aims are somewhat unusual, we will be making use of a somewhat unusual method. First we introduce hypotheses about the psychological mechanisms<br />
underlying people&rsquo;s intuitions; then we put these hypotheses to the test using systematic experiments. [p. 68]</p>
",Y,"<p>Before we can propose our second hypothesis, we need to introduce a few technical terms:<br />
&ndash; The functional role of a state is the profile of its typical causes and effects.<br />
&ndash; The physical constitution of an entity is its actual physical make-up. [p. 69]</p>
",Y,"<p>This hypothesis is that information about physical constitution plays different roles in different kinds of mental state ascriptions. Specifically, information about physical constitution plays a special role in those ascriptions that require phenomenal consciousness&mdash;a role that it does not play in other kinds of mental state ascription. [p. 70]</p>
",Y,"<p>Instead, we propose to explain it in terms of our two hypotheses:<br />
(1) People tacitly classify feeling depressed as a state requiring phenomenal consciousness<br />
(2) Ascriptions of states requiring phenomenal consciousness are sensitive in a special way to information about physical constitution. [p. 73]</p>

<p>We began with a study in which subjects were given a list of sentences that ascribed mental states to group agents and then asked whether each of these sentences &lsquo;sounds natural&rsquo; or &lsquo;sounds weird.&rsquo; [p. 74]</p>
",P,,,,N,,N,,N,,N,,N,,N,,P,,NA,,N,,NA,,NA,,NA,,NA,,NA,,Q,NA,,N,,N,,N,,N,,N,,N,,N,,NA,,NA,,N,,,,N,,N,,N,,N,,,,N,,NA,,NA,,NA,,NA,,N,,NA,,N,,N,,N,,Y,"<p>The sentences ascribing phenomenal states were:<br />
&amp; Acme Corp. is now experiencing great joy.<br />
&amp; Acme Corp. is getting depressed.<br />
&amp; Acme Corp. is feeling excruciating pain.<br />
&amp; Acme Corp. is experiencing a sudden urge to pursue internet advertising.<br />
&amp; Acme Corp. is now vividly imagining a purple square.</p>
",N,,,,N,,N,,N,,N,,N,,NA,,Y,"<p>We began with a study in which subjects were given a list of sentences that ascribed mental states to group agents and then asked whether each of these sentences &lsquo;sounds natural&rsquo; or &lsquo;sounds weird.&rsquo; [p. 74]</p>
",Y,"<p>Each subject was given a list of sentences and asked to rate these sentences on a scale from 1 (&lsquo;sounds weird&rsquo;) to 7 (&lsquo;sounds natural&rsquo;). (App.)</p>
",NA,,N,,N,,N,,NA,,N,,N,,N,,N,,N,,N,,N,,N,,P,"<p>As the table shows, even the most acceptable phenomenal state was still deemed less acceptable than the least acceptable non-phenomenal state. More generally, there<br />
was a statistically significant effect such that people gave lower ratings for the phenomenal states than for the non-phenomenal states. [p. 75]</p>
",0.0,"<p>In a striking development, Michael Bruno, Bryce Huebner and Hagop Sarkissian (unpublished data) have conducted a cross-cultural study demonstrating that this effect also arises among subjects in Hong Kong. (Even more interestingly, the study showed a significant effect such that the difference between ascriptions to groups and ascriptions to individuals is smaller for Hong Kong subjects than it is for American subjects.)</p>
",3,2024-10-10 11:52:52.903051,2025-01-16 17:11:57.345211
